season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id,url
2025,1,I,NEC,593904,LIU,MLA,361,https://www.liuathletics.com/sports/mens-lacrosse
2025,1,I,Atlantic 10,593908,St. Bonaventure,MLA,596,https://gobonnies.com/sports/mens-lacrosse
2025,1,I,ASUN,593910,Bellarmine,MLA,52,https://bellarmineknights.com/sports/mens-lacrosse
2025,1,I,America East,593912,Binghamton,MLA,62,https://binghamtonbearcats.com/sports/mens-lacrosse
2025,1,I,Patriot,593915,Boston U.,MLA,68,https://goterriers.com/sports/mens-lacrosse
2025,1,I,Ivy League,593918,Brown,MLA,80,https://brownbears.com/sports/mens-lacrosse
2025,1,I,America East,593920,Bryant,MLA,81,https://bryantbulldogs.com/sports/mens-lacrosse
2025,1,I,Patriot,593922,Bucknell,MLA,83,https://bucknellbison.com/sports/mens-lacrosse
2025,1,I,MAAC,593925,Canisius,MLA,116,https://gogriffs.com/sports/mens-lacrosse
2025,1,I,NEC,593927,Cleveland St.,MLA,148,https://clevelandstatevikings.com/sports/mens-lacrosse
2025,1,I,Patriot,593929,Colgate,MLA,153,https://colgateathletics.com/sports/mens-lacrosse
2025,1,I,Ivy League,593931,Cornell,MLA,167,https://cornellbigred.com/sports/mens-lacrosse
2025,1,I,Ivy League,593933,Dartmouth,MLA,172,https://dartmouthsports.com/sports/mens-lacrosse
2025,1,I,CAA,593934,Delaware,MLA,180,https://bluehens.com/sports/mens-lacrosse
2025,1,I,Big East,593936,Denver,MLA,183,https://denverpioneers.com/sports/mens-lacrosse
2025,1,I,NEC,593938,Detroit Mercy,MLA,184,https://detroittitans.com/sports/mens-lacrosse
2025,1,I,CAA,593940,Drexel,MLA,191,https://drexeldragons.com/sports/mens-lacrosse
2025,1,I,ACC,593943,Duke,MLA,193,https://goduke.com/sports/mens-lacrosse
2025,1,I,CAA,593946,Fairfield,MLA,220,https://fairfieldstags.com/sports/mens-lacrosse
2025,1,I,CAA,593948,Hampton,MLA,270,https://hamptonpirates.com/sports/mens-lacrosse
2025,1,I,Ivy League,593949,Harvard,MLA,275,https://gocrimson.com/sports/mens-lacrosse
2025,1,I,Atlantic 10,593952,Hobart,MLA,282,https://hwsathletics.com/sports/mens-lacrosse
2025,1,I,CAA,593954,Hofstra,MLA,283,https://gohofstra.com/sports/mens-lacrosse
2025,1,I,Patriot,593956,Holy Cross,MLA,285,https://goholycross.com/sports/mens-lacrosse
2025,1,I,ASUN,593958,Jacksonville,MLA,316,https://judolphins.com/sports/mens-lacrosse
2025,1,I,Big Ten,593960,Johns Hopkins,MLA,322,https://hopkinssports.com/sports/mens-lacrosse
2025,1,I,Patriot,593962,Lafayette,MLA,342,https://goleopards.com/sports/mens-lacrosse
2025,1,I,America East,593964,UMass Lowell,MLA,368,https://goriverhawks.com/sports/mens-lacrosse
2025,1,I,Patriot,593966,Loyola Maryland,MLA,369,https://loyolagreyhounds.com/sports/mens-lacrosse
2025,1,I,MAAC,593968,Manhattan,MLA,381,https://gojaspers.com/sports/mens-lacrosse
2025,1,I,MAAC,593970,Marist,MLA,386,https://goredfoxes.com/sports/mens-lacrosse
2025,1,I,Big East,593972,Marquette,MLA,387,https://gomarquette.com/sports/mens-lacrosse
2025,1,I,America East,593974,UMBC,MLA,391,https://umbcretrievers.com/sports/mens-lacrosse
2025,1,I,Big Ten,593977,Maryland,MLA,392,https://umterps.com/sports/mens-lacrosse
2025,1,I,Atlantic 10,593979,Massachusetts,MLA,400,https://umassathletics.com/sports/mens-lacrosse
2025,1,I,ASUN,593982,Mercer,MLA,406,https://mercerbears.com/sports/mens-lacrosse
2025,1,I,CAA,593985,Monmouth,MLA,439,https://monmouthhawks.com/sports/mens-lacrosse
2025,1,I,MAAC,593988,Mount St. Mary's,MLA,450,https://mountathletics.com/sports/mens-lacrosse
2025,1,I,ACC,593990,North Carolina,MLA,457,https://goheels.com/sports/mens-lacrosse
2025,1,I,America East,593992,NJIT,MLA,471,https://njithighlanders.com/sports/mens-lacrosse
